iter	Passed	Remaining
0	4	4435
1	7	3907
2	10	3369
3	13	3246
4	15	3109
5	18	3001
6	20	2901
7	22	2847
8	25	2767
9	27	2729
10	30	2732
11	32	2716
12	35	2674
13	38	2677
14	40	2657
15	42	2628
16	44	2598
17	47	2584
18	49	2561
19	52	2551
20	54	2548
21	57	2543
22	59	2543
23	62	2531
24	64	2522
25	66	2507
26	69	2489
27	71	2496
28	74	2488
29	76	2487
30	79	2478
31	81	2468
32	84	2477
33	87	2486
34	89	2477
35	92	2474
36	94	2469
37	97	2459
38	99	2454
39	102	2458
40	105	2478
41	108	2483
42	111	2476
43	114	2489
44	117	2491
45	120	2500
46	123	2496
47	125	2486
48	127	2481
49	130	2472
50	132	2464
51	134	2458
52	137	2461
53	140	2454
54	142	2451
55	145	2447
56	147	2446
57	150	2441
58	152	2436
59	155	2436
60	157	2428
61	160	2432
62	163	2431
63	165	2426
64	168	2422
65	171	2421
66	173	2421
67	176	2424
68	180	2430
69	182	2423
70	185	2421
71	187	2419
72	190	2416
73	192	2413
74	195	2410
75	197	2406
76	200	2406
77	203	2408
78	206	2405
79	208	2401
80	211	2402
81	214	2398
82	216	2394
83	219	2393
84	222	2390
85	224	2387
86	227	2384
87	229	2382
88	232	2376
89	234	2373
90	237	2371
91	239	2367
92	242	2363
93	245	2362
94	247	2356
95	249	2353
96	252	2349
97	255	2348
98	257	2344
99	260	2341
100	262	2336
101	265	2334
102	267	2331
103	270	2330
104	273	2328
105	276	2330
106	279	2329
107	282	2333
108	285	2334
109	288	2331
110	290	2327
111	293	2326
112	295	2322
113	298	2320
114	301	2317
115	303	2316
116	306	2311
117	309	2310
118	311	2307
119	314	2303
120	316	2299
121	319	2297
122	321	2293
123	324	2290
124	326	2287
125	330	2289
126	333	2290
127	336	2292
128	339	2289
129	342	2290
130	344	2286
131	347	2282
132	349	2281
133	353	2282
134	355	2279
135	358	2278
136	361	2274
137	363	2271
138	366	2268
139	368	2266
140	371	2261
141	374	2261
142	376	2257
143	379	2253
144	381	2249
145	384	2246
146	387	2247
147	390	2246
148	392	2244
149	395	2240
150	397	2236
151	400	2234
152	403	2232
153	405	2229
154	408	2228
155	411	2227
156	414	2224
157	416	2221
158	419	2219
159	422	2217
160	425	2215
161	427	2210
162	430	2208
163	432	2206
164	435	2206
165	438	2203
166	441	2201
167	443	2198
168	446	2195
169	449	2192
170	451	2190
171	454	2186
172	456	2184
173	459	2182
174	462	2179
175	465	2177
176	468	2177
177	471	2176
178	473	2173
179	476	2170
180	479	2168
181	482	2166
182	484	2164
183	487	2161
184	489	2158
185	492	2154
186	494	2151
187	497	2148
188	500	2147
189	502	2143
190	505	2141
191	508	2139
192	511	2137
193	513	2135
194	517	2134
195	519	2132
196	522	2129
197	525	2128
198	528	2126
199	531	2125
200	534	2125
201	537	2123
202	540	2121
203	543	2120
204	546	2117
205	549	2118
206	552	2115
207	555	2114
208	558	2113
209	561	2111
210	564	2109
211	566	2107
212	569	2104
213	572	2101
214	574	2099
215	577	2096
216	580	2093
217	583	2091
218	585	2089
219	588	2087
220	591	2085
221	594	2082
222	596	2079
223	600	2078
224	603	2077
225	606	2078
226	609	2075
227	612	2072
228	615	2070
229	617	2067
230	620	2064
231	623	2063
232	626	2061
233	628	2058
234	632	2057
235	634	2055
236	637	2053
237	640	2051
238	643	2048
239	646	2045
240	649	2044
241	651	2041
242	654	2039
243	657	2037
244	660	2034
245	663	2032
246	666	2030
247	669	2029
248	672	2028
249	675	2025
250	677	2022
251	681	2021
252	683	2018
253	686	2015
254	688	2012
255	691	2009
256	694	2006
257	696	2004
258	699	2002
259	702	1999
260	705	1997
261	708	1994
262	710	1991
263	713	1989
264	716	1987
265	719	1984
266	722	1982
267	724	1978
268	727	1976
269	730	1975
270	733	1973
271	736	1970
272	739	1969
273	742	1966
274	745	1964
275	748	1962
276	750	1959
277	753	1957
278	756	1954
279	759	1951
280	762	1949
281	764	1947
282	767	1944
283	770	1941
284	772	1938
285	775	1936
286	778	1933
287	781	1931
288	784	1928
289	787	1927
290	790	1925
291	793	1924
292	796	1923
293	799	1920
294	802	1918
295	805	1915
296	808	1912
297	811	1910
298	814	1908
299	816	1906
300	819	1903
301	822	1900
302	825	1897
303	827	1895
304	830	1893
305	833	1890
306	836	1888
307	839	1885
308	841	1882
309	844	1880
310	847	1877
311	850	1875
312	853	1873
313	857	1872
314	860	1870
315	862	1867
316	865	1865
317	869	1864
318	872	1862
319	874	1858
320	877	1856
321	880	1854
322	883	1851
323	886	1848
324	888	1845
325	891	1842
326	894	1840
327	897	1839
328	901	1838
329	904	1836
330	907	1834
331	910	1832
332	913	1830
333	916	1827
334	919	1824
335	922	1822
336	925	1820
337	928	1818
338	931	1815
339	934	1813
340	937	1811
341	940	1808
342	942	1805
343	945	1803
344	948	1800
345	951	1797
346	953	1794
347	956	1792
348	959	1789
349	962	1787
350	964	1784
351	967	1781
352	970	1778
353	973	1776
354	976	1773
355	979	1771
356	982	1769
357	985	1766
358	988	1764
359	990	1761
360	993	1759
361	996	1756
362	999	1754
363	1002	1751
364	1004	1748
365	1007	1745
366	1010	1743
367	1013	1740
368	1016	1737
369	1019	1735
370	1022	1732
371	1025	1730
372	1028	1728
373	1030	1725
374	1033	1723
375	1036	1720
376	1039	1717
377	1042	1715
378	1045	1713
379	1048	1710
380	1051	1707
381	1053	1704
382	1056	1702
383	1059	1700
384	1062	1697
385	1065	1694
386	1068	1692
387	1071	1689
388	1073	1686
389	1077	1684
390	1079	1681
391	1082	1679
392	1085	1676
393	1088	1673
394	1090	1670
395	1093	1667
396	1096	1664
397	1098	1662
398	1101	1659
399	1104	1656
400	1107	1654
401	1110	1652
402	1113	1649
403	1116	1647
404	1119	1644
405	1122	1641
406	1125	1639
407	1128	1638
408	1131	1635
409	1135	1633
410	1138	1632
411	1141	1629
412	1144	1626
413	1147	1624
414	1150	1621
415	1153	1619
416	1156	1616
417	1159	1614
418	1162	1612
419	1165	1609
420	1168	1607
421	1171	1604
422	1174	1602
423	1177	1600
424	1181	1598
425	1184	1595
426	1187	1593
427	1190	1590
428	1193	1588
429	1196	1586
430	1200	1584
431	1203	1582
432	1206	1579
433	1209	1577
434	1212	1574
435	1215	1572
436	1218	1569
437	1221	1567
438	1225	1565
439	1228	1563
440	1231	1560
441	1234	1558
442	1237	1555
443	1240	1553
444	1243	1550
445	1246	1548
446	1249	1545
447	1252	1543
448	1256	1541
449	1259	1539
450	1262	1537
451	1266	1535
452	1268	1532
453	1272	1530
454	1275	1527
455	1277	1524
456	1281	1522
457	1284	1519
458	1287	1517
459	1290	1515
460	1293	1512
461	1296	1509
462	1299	1507
463	1302	1505
464	1306	1502
465	1309	1500
466	1311	1497
467	1315	1494
468	1317	1492
469	1321	1489
470	1324	1487
471	1327	1485
472	1331	1483
473	1334	1480
474	1337	1477
475	1340	1475
476	1342	1472
477	1346	1470
478	1349	1467
479	1352	1465
480	1355	1462
481	1358	1460
482	1361	1457
483	1365	1455
484	1368	1452
485	1371	1450
486	1374	1448
487	1378	1446
488	1381	1443
489	1384	1440
490	1387	1438
491	1390	1435
492	1393	1433
493	1396	1430
494	1399	1427
495	1402	1425
496	1405	1422
497	1408	1419
498	1411	1417
499	1414	1414
500	1417	1411
501	1420	1409
502	1423	1406
503	1426	1404
504	1430	1401
505	1432	1398
506	1435	1396
507	1439	1393
508	1441	1390
509	1444	1387
510	1448	1385
511	1451	1383
512	1454	1380
513	1457	1378
514	1460	1375
515	1463	1372
516	1466	1370
517	1469	1367
518	1473	1365
519	1476	1363
520	1480	1360
521	1483	1358
522	1486	1355
523	1489	1352
524	1492	1349
525	1495	1347
526	1497	1344
527	1500	1341
528	1503	1339
529	1506	1336
530	1509	1333
531	1512	1330
532	1515	1327
533	1518	1325
534	1522	1322
535	1524	1320
536	1527	1317
537	1530	1314
538	1533	1311
539	1537	1309
540	1540	1306
541	1543	1304
542	1546	1301
543	1549	1298
544	1552	1295
545	1555	1293
546	1558	1290
547	1561	1288
548	1564	1285
549	1567	1282
550	1570	1279
551	1573	1277
552	1576	1274
553	1579	1271
554	1582	1268
555	1585	1266
556	1588	1263
557	1591	1260
558	1595	1258
559	1598	1255
560	1601	1253
561	1604	1250
562	1607	1247
563	1610	1245
564	1613	1242
565	1616	1239
566	1619	1237
567	1623	1234
568	1626	1231
569	1629	1229
570	1633	1227
571	1636	1224
572	1639	1222
573	1643	1219
574	1646	1216
575	1649	1213
576	1652	1211
577	1655	1208
578	1658	1206
579	1661	1203
580	1664	1200
581	1667	1197
582	1670	1195
583	1673	1192
584	1676	1189
585	1679	1186
586	1682	1183
587	1685	1181
588	1688	1178
589	1691	1175
590	1694	1172
591	1697	1169
592	1700	1166
593	1703	1164
594	1706	1161
595	1709	1158
596	1712	1155
597	1715	1153
598	1718	1150
599	1722	1148
600	1725	1145
601	1728	1142
602	1731	1139
603	1734	1136
604	1737	1134
605	1740	1131
606	1743	1128
607	1746	1125
608	1749	1123
609	1752	1120
610	1755	1117
611	1758	1114
612	1761	1111
613	1764	1109
614	1767	1106
615	1770	1103
616	1773	1100
617	1776	1098
618	1779	1095
619	1782	1092
620	1785	1089
621	1789	1087
622	1792	1084
623	1795	1081
624	1798	1078
625	1801	1076
626	1804	1073
627	1807	1070
628	1810	1067
629	1813	1064
630	1816	1062
631	1819	1059
632	1822	1056
633	1825	1053
634	1828	1050
635	1830	1047
636	1833	1045
637	1837	1042
638	1840	1039
639	1842	1036
640	1845	1033
641	1848	1030
642	1852	1028
643	1856	1026
644	1859	1023
645	1862	1020
646	1865	1017
647	1868	1014
648	1871	1012
649	1874	1009
650	1877	1006
651	1880	1003
652	1883	1000
653	1886	997
654	1888	994
655	1891	991
656	1894	989
657	1897	986
658	1900	983
659	1903	980
660	1906	977
661	1909	974
662	1912	971
663	1915	969
664	1918	966
665	1921	963
666	1924	961
667	1927	958
668	1930	955
669	1933	952
670	1937	949
671	1940	946
672	1943	944
673	1946	941
674	1949	938
675	1952	936
676	1955	933
677	1958	930
678	1961	927
679	1964	924
680	1968	921
681	1971	919
682	1974	916
683	1977	913
684	1980	910
685	1983	908
686	1986	905
687	1990	902
688	1993	899
689	1996	896
690	1999	894
691	2002	891
692	2005	888
693	2008	885
694	2011	882
695	2014	879
696	2017	877
697	2020	874
698	2023	871
699	2026	868
700	2029	865
701	2032	862
702	2035	859
703	2038	857
704	2041	854
705	2044	851
706	2047	848
707	2050	845
708	2053	842
709	2056	840
710	2059	837
711	2062	834
712	2065	831
713	2068	828
714	2071	825
715	2074	822
716	2077	819
717	2080	817
718	2083	814
719	2086	811
720	2089	808
721	2092	805
722	2095	802
723	2098	800
724	2101	797
725	2104	794
726	2107	791
727	2110	788
728	2114	785
729	2117	783
730	2120	780
731	2123	777
732	2126	774
733	2129	771
734	2132	768
735	2135	766
736	2138	763
737	2141	760
738	2144	757
739	2147	754
740	2150	751
741	2153	748
742	2156	745
743	2159	743
744	2162	740
745	2165	737
746	2169	734
747	2172	731
748	2174	728
749	2177	725
750	2181	723
751	2184	720
752	2187	717
753	2190	714
754	2193	711
755	2197	709
756	2200	706
757	2203	703
758	2206	700
759	2209	697
760	2212	695
761	2215	692
762	2218	689
763	2221	686
764	2224	683
765	2227	680
766	2231	677
767	2234	674
768	2237	672
769	2240	669
770	2243	666
771	2247	663
772	2249	660
773	2252	657
774	2255	654
775	2258	652
776	2262	649
777	2265	646
778	2268	643
779	2270	640
780	2273	637
781	2277	634
782	2280	631
783	2283	629
784	2286	626
785	2289	623
786	2291	620
787	2295	617
788	2298	614
789	2301	611
790	2304	608
791	2307	605
792	2310	603
793	2314	600
794	2317	597
795	2320	594
796	2323	591
797	2327	589
798	2330	586
799	2333	583
800	2336	580
801	2339	577
802	2343	574
803	2346	571
804	2348	569
805	2352	566
806	2354	563
807	2358	560
808	2361	557
809	2364	554
810	2367	551
811	2370	548
812	2373	545
813	2376	543
814	2379	540
815	2383	537
816	2386	534
817	2389	531
818	2391	528
819	2394	525
820	2398	522
821	2401	519
822	2403	517
823	2406	514
824	2409	511
825	2412	508
826	2415	505
827	2418	502
828	2421	499
829	2424	496
830	2428	493
831	2431	490
832	2433	487
833	2436	485
834	2439	482
835	2443	479
836	2446	476
837	2449	473
838	2452	470
839	2455	467
840	2458	464
841	2461	461
842	2464	458
843	2467	456
844	2470	453
845	2472	450
846	2476	447
847	2479	444
848	2482	441
849	2485	438
850	2488	435
851	2491	432
852	2494	429
853	2497	427
854	2501	424
855	2504	421
856	2507	418
857	2510	415
858	2513	412
859	2516	409
860	2519	406
861	2522	403
862	2525	400
863	2528	398
864	2532	395
865	2534	392
866	2538	389
867	2541	386
868	2544	383
869	2547	380
870	2550	377
871	2553	374
872	2556	371
873	2559	369
874	2562	366
875	2565	363
876	2568	360
877	2571	357
878	2574	354
879	2577	351
880	2581	348
881	2584	345
882	2587	342
883	2590	339
884	2593	337
885	2596	334
886	2599	331
887	2602	328
888	2605	325
