iter	Logloss
0	0.6403427569
1	0.6073467479
2	0.5821388983
3	0.5546792047
4	0.5339209335
5	0.5215881123
6	0.5076935453
7	0.4940514848
8	0.4845119248
9	0.4761895002
10	0.4697598297
11	0.460563294
12	0.4535157243
13	0.4468424229
14	0.441738308
15	0.4375766379
16	0.4327205964
17	0.4294556274
18	0.4245549492
19	0.4181017472
20	0.4135880458
21	0.4101166972
22	0.4074747385
23	0.4048964679
24	0.4023087458
25	0.4001605715
26	0.3982102496
27	0.3961353562
28	0.3940904488
29	0.3926011499
30	0.3897142619
31	0.3877908331
32	0.3854277428
33	0.3800248899
34	0.3726561923
35	0.3708483091
36	0.3677661172
37	0.3669903788
38	0.3646274192
39	0.3634148314
40	0.3622888247
41	0.3608946077
42	0.3592685864
43	0.3582712814
44	0.3559436431
45	0.3547917751
46	0.3513841811
47	0.3495207638
48	0.3489497035
49	0.3474906733
50	0.3461522154
51	0.3454247094
52	0.3450090581
53	0.3443584879
54	0.3432150006
55	0.3425732509
56	0.3385318767
57	0.3354089929
58	0.3348893908
59	0.3341879573
60	0.3335424094
61	0.3318328346
62	0.3310569701
63	0.3301835069
64	0.3283532722
65	0.3260026657
66	0.325688763
67	0.3243613224
68	0.3220335966
69	0.3214373464
70	0.3208655235
71	0.3204993235
72	0.320017348
73	0.3192865369
74	0.318097694
75	0.3178249058
76	0.3171902638
77	0.3164961288
78	0.315573276
79	0.3150923808
80	0.3147466151
81	0.3138945288
82	0.3130613724
83	0.3088313836
84	0.3085249521
85	0.3082016892
86	0.3076536902
87	0.3072269092
88	0.3065994871
89	0.3062532025
90	0.3060135611
91	0.304922079
92	0.3041776628
93	0.3035687641
94	0.3012801042
95	0.2991982746
96	0.2990089305
97	0.2985433222
98	0.2981701336
99	0.2975081383
100	0.2963388385
101	0.2955898523
102	0.2953358213
103	0.2947880477
104	0.2919077515
105	0.2900270652
106	0.2871688251
107	0.2869243713
108	0.2856091645
109	0.2851414365
110	0.2836132558
111	0.2827995276
112	0.2809502283
113	0.2802045458
114	0.2797974969
115	0.279513201
116	0.2787348929
117	0.2783659602
118	0.2781028036
119	0.2773151969
120	0.2768823548
121	0.2762719976
122	0.275544465
123	0.2749683263
124	0.2747384177
125	0.2739220562
126	0.2727054459
127	0.2724848357
128	0.2720067984
129	0.2718068638
130	0.2715716231
131	0.2713611206
132	0.2708666571
133	0.2703658935
134	0.2686352516
135	0.2683970814
136	0.2680511885
137	0.2676653675
138	0.2674918052
139	0.2672559157
140	0.2669508303
141	0.2659431189
142	0.2655147789
143	0.2651743712
144	0.2648579398
145	0.2645005063
146	0.2642216943
147	0.2640436725
148	0.2636540236
149	0.2632584358
150	0.2629035251
151	0.2626728277
152	0.2622665153
153	0.2620291486
154	0.2616768719
155	0.2613683089
156	0.2603300854
157	0.2600699926
158	0.2590079968
159	0.2585334319
160	0.25828304
161	0.2580749914
162	0.2575965781
163	0.2572112017
164	0.2569408558
165	0.2565574748
166	0.2563806506
167	0.2562298448
168	0.2559511119
169	0.2557649209
170	0.2552531813
171	0.2545536192
172	0.2543078844
173	0.2533847784
174	0.2529463547
175	0.2527814654
176	0.2523866761
177	0.2521916273
178	0.2515102342
179	0.2512554116
180	0.2501935145
181	0.2483033009
182	0.2466873987
183	0.2462008193
184	0.2458831543
185	0.2456671845
186	0.2454376604
187	0.2451735619
188	0.2449840272
189	0.2448203504
190	0.2446973713
191	0.2445858974
192	0.2433686502
193	0.2430684072
194	0.2426019126
195	0.2423353887
196	0.2421674933
197	0.2419667823
198	0.2417113285
199	0.2414346474
200	0.241104129
201	0.2408778745
202	0.240659617
203	0.2404094699
204	0.2401988507
205	0.2395027089
206	0.2393644705
207	0.2391670092
208	0.2379204693
209	0.2377952064
210	0.2376435161
211	0.2374843683
212	0.2373096681
213	0.2371579425
214	0.2369142067
215	0.2367630931
216	0.2361795835
217	0.2357209321
218	0.2355318729
219	0.2352924562
220	0.2351295505
221	0.2349407257
222	0.2343729499
223	0.2341418343
224	0.2339771129
225	0.233833075
226	0.2336979351
227	0.2335076078
228	0.2332690261
229	0.2330700255
230	0.2325858191
231	0.2324051738
232	0.2321024267
233	0.2318924513
234	0.2317337808
235	0.2314681674
236	0.2313010923
237	0.2311050618
238	0.2308506764
239	0.2307126537
240	0.2304412717
241	0.2302205006
242	0.2300468615
243	0.2299180646
244	0.2298200765
245	0.2296723227
246	0.2294627226
247	0.229183062
248	0.2289994915
249	0.2289550849
250	0.2288005803
251	0.2286195898
252	0.2284912652
253	0.2283635764
254	0.2280826817
255	0.2278456338
256	0.227596289
257	0.2274222475
258	0.226922185
259	0.2267526119
260	0.2265873003
261	0.2264388157
262	0.2262835277
263	0.2261560977
264	0.2260395191
265	0.2258849323
266	0.2257630317
267	0.2255979706
268	0.2254917404
269	0.2253325
270	0.2251773698
271	0.2251120874
272	0.2243516075
273	0.2242247616
274	0.2237902334
275	0.2236069672
276	0.2231416245
277	0.2229497154
278	0.2228190289
279	0.2226945807
280	0.2224545875
281	0.2220131715
282	0.2219134368
283	0.2209670908
284	0.2207060671
285	0.2203114107
286	0.2201966571
287	0.2198639756
288	0.2194987399
289	0.2191732118
290	0.2190007377
291	0.2188934839
292	0.2187563005
293	0.2186796076
294	0.2185502085
295	0.2184076659
296	0.2182977177
297	0.21807483
298	0.2178169482
299	0.217676319
