iter	Passed	Remaining
0	4	1343
1	6	985
2	9	943
3	12	891
4	15	923
5	18	901
6	20	869
7	22	824
8	24	795
9	26	768
10	28	743
11	29	716
12	31	700
13	33	685
14	35	670
15	37	658
16	38	648
17	40	639
18	42	629
19	44	620
20	46	612
21	47	604
22	49	598
23	51	593
24	53	590
25	55	585
26	57	581
27	59	576
28	61	571
29	62	566
30	64	561
31	66	556
32	68	553
33	70	549
34	72	545
35	73	542
36	75	539
37	77	535
38	79	534
39	82	534
40	84	531
41	86	528
42	87	525
43	90	527
44	93	529
45	96	531
46	98	531
47	101	531
48	103	528
49	105	526
50	107	523
51	109	520
52	111	520
53	113	518
54	115	516
55	118	515
56	120	515
57	123	517
58	127	519
59	129	518
60	132	517
61	134	514
62	135	511
63	138	509
64	140	508
65	143	507
66	145	505
67	147	503
68	149	501
69	151	497
70	153	494
71	155	492
72	157	489
73	159	487
74	162	486
75	165	487
76	168	489
77	172	491
78	176	494
79	179	493
80	181	491
81	184	489
82	186	487
83	188	485
84	191	483
85	193	481
86	198	485
87	205	494
88	208	494
89	212	494
90	214	493
91	217	492
92	221	493
93	226	495
94	228	494
95	231	492
96	234	490
97	236	488
98	239	485
99	241	483
100	243	480
101	246	478
102	248	474
103	250	471
104	252	468
105	254	465
106	256	462
107	258	459
108	260	456
109	262	454
110	265	452
111	268	450
112	270	448
113	273	445
114	275	443
115	277	440
116	279	437
117	281	434
118	283	431
119	286	429
120	288	426
121	290	423
122	292	420
123	293	417
124	296	414
125	297	411
126	299	408
127	302	405
128	304	403
129	306	400
130	308	397
131	310	395
132	312	392
133	314	390
134	317	388
135	320	386
136	322	383
137	324	380
138	326	377
139	328	374
140	329	372
141	332	369
142	333	366
143	335	363
144	337	360
145	339	357
146	341	355
147	343	352
148	344	349
149	346	346
150	348	343
151	350	340
152	351	338
153	353	335
154	355	332
155	357	329
156	358	326
157	360	324
158	362	321
159	363	318
160	365	315
161	367	313
162	369	310
163	371	307
164	373	305
165	375	302
166	377	300
167	380	298
168	382	296
169	385	294
170	387	292
171	389	289
172	391	287
173	393	284
174	395	282
175	397	279
176	398	277
177	400	274
178	402	272
179	404	269
180	406	267
181	408	264
182	409	262
183	411	259
184	413	256
185	415	254
186	416	251
187	418	249
188	420	246
189	422	244
190	423	241
191	425	239
192	427	236
193	428	234
194	430	231
195	431	229
196	433	226
197	435	224
198	437	221
199	438	219
200	440	216
201	442	214
202	444	212
203	446	209
204	448	207
205	449	205
206	451	202
207	453	200
208	455	198
209	456	195
210	458	193
211	460	190
212	461	188
213	463	186
214	465	183
215	467	181
216	468	179
217	470	177
218	472	174
219	474	172
220	475	170
221	477	167
222	479	165
223	481	163
224	484	161
225	485	159
226	487	156
227	489	154
228	491	152
229	493	150
230	495	148
231	497	145
232	500	143
233	503	142
234	506	140
235	508	137
236	510	135
237	513	133
238	516	131
239	519	129
240	522	127
241	527	126
242	531	124
243	535	122
244	538	120
245	545	119
246	552	118
247	558	117
248	561	114
249	564	112
250	568	111
251	571	108
252	576	107
253	580	105
254	583	103
255	587	100
256	591	99
257	594	96
258	599	94
259	607	93
260	611	91
261	616	89
262	620	87
263	623	85
264	626	82
265	629	80
266	632	78
267	635	75
268	638	73
269	642	71
270	645	69
271	648	66
272	653	64
273	657	62
274	660	60
275	664	57
276	667	55
277	669	52
278	671	50
279	673	48
280	675	45
281	677	43
282	679	40
283	681	38
284	684	36
285	686	33
286	688	31
287	690	28
288	691	26
289	694	23
290	696	21
291	699	19
292	702	16
293	706	14
294	709	12
295	711	9
296	713	7
297	715	4
298	718	2
299	720	0
